,page_no,level,total_content_length,summarizer_amazon_en_es_summary_150,parent,content
Introduction,4,1.0,10968,"SASB Standards are designed to identify a minimum set of sustainability issues most likely to impact the operating performance or financial condition of the typical company in an industry, regardless of location . each accounting metric is accompanied by a technical protocol that provides guidance for third-party assurance .",,
Purpose of SASB Standards,4,2.0,1550,"the term ""sustainability"" in the SASB Standards refers to corporate activities that maintain or enhance the company's ability to create value over the long term . the SASBStandards also refer to sustainability as ""ESG""",Introduction,"The use of the term “sustainability” in the SASB Standards refers to corporate activities that maintain or enhance theability of the company to create value over the long term. Sustainability accounting reflects the governance andmanagement of a company’s environmental and social impacts arising from production of goods and services, as well asits governance and management of the environmental and social capitals necessary to create long-term value. The SASBStandards also refer to sustainability as “ESG” (environmental, social, and governance), though traditional corporategovernance issues such as board composition are not included within the scope of the SASB Standards.SASB Standards are designed to identify a minimum set of sustainability issues most likely to impact the operatingperformance or financial condition of the typical company in an industry, regardless of location. SASB Standards aredesigned to enable communications on corporate performance on industry-level sustainability issues in a cost-effectiveand decision-useful manner using existing disclosure and reporting mechanisms.Businesses can use the SASB Standards to better identify, manage, and communicate to investors sustainabilityinformation that is financially material. Use of the Standards can benefit businesses by improving transparency, riskmanagement, and performance. SASB Standards can help investors by encouraging reporting that is comparable,consistent, and financially material, thereby enabling investors to make better investment and voting decisions."
Overview of SASB Standards,4,2.0,0,,Introduction,"The SASB Standards board has developed a set of 77 industry-specific sustainability accounting standards (“SASBStandards” or “industry standards”), categorized pursuant to the SASB Sustainable Industry Classification System®(SICS®). Each SASB Standard describes the industry that is the subject of the Standard, including any assumptions aboutthe predominant business model and industry segments that are included. SASB Standards include:1. Disclosure topics – A minimum set of industry-specific disclosure topics reasonably likely to constitute materialinformation, and a brief description of how management or mismanagement of each topic may affect value creation.2. Accounting metrics – A set of quantitative and/or qualitative accounting metrics intended to measure performanceon each topic.3. Technical protocols – Each accounting metric is accompanied by a technical protocol that provides guidance ondefinitions, scope, implementation, compilation, and presentation, all of which are intended to constitute suitable criteriafor third-party assurance.4. Activity metrics – A set of metrics that quantify the scale of a company’s business and are intended for use inconjunction with accounting metrics to normalize data and facilitate comparison.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 4Furthermore, the SASB Standards Application Guidance establishes guidance applicable to the use of all industrystandards and is considered part of the standards. Unless otherwise specified in the technical protocols contained in theindustry standards, the guidance in the SASB Standards Application Guidance applies to the definitions, scope,implementation, compilation, and presentation of the metrics in the industry standards.The SASB Conceptual Framework sets out the basic concepts, principles, definitions, and objectives that guide theStandards Board in its approach to setting standards for sustainability accounting. The SASB Rules of Procedure is focusedon the governance processes and practices for standards setting."
Use of the Standards,5,2.0,0,,Introduction,"SASB Standards are intended for use in communications to investors regarding sustainability issues that are likely toimpact corporate ability to create value over the long term. Use of SASB Standards is voluntary. A company determineswhich Standard(s) is relevant to the company, which disclosure topics are financially material to its business, and whichassociated metrics to report, taking relevant legal requirements into account1. In general, a company would use the SASBStandard specific to its primary industry as identified in SICS® . However, companies with substantial business in multipleSICS® industries can consider reporting on these additional SASB Standards.It is up to a company to determine the means by which it reports SASB information to investors. One benefit of usingSASB Standards may be achieving regulatory compliance in some markets. Other investor communications using SASBinformation could be sustainability reports, integrated reports, websites, or annual reports to shareholders. There is noguarantee that SASB Standards address all financially material sustainability risks or opportunities unique to a company’sbusiness model."
Industry Description,5,2.0,0,,Introduction,"The Metals & Mining industry is involved in extracting metals and minerals, producing ores, quarrying stones, smeltingand manufacturing metals, refining metals, and providing mining support activities. It also produces iron ores, rare earthmetals, and precious metals and stones. Larger companies in this industry are vertically integrated – from mining acrossglobal operations to wholesaling metals to customers.Note: SASB has separate standards for the Iron & Steel Producers industry (EM-IS).1 Legal Note: SASB standards are not intended to, and indeed cannot, replace any legal or regulatory requirements that may beapplicable to a reporting entity’s operations.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 5SUSTAINABILITY DISCLOSURE TOPICS & ACCOUNTING METRICSTable 1. Sustainability Disclosure Topics & Accounting MetricsUNIT OFTOPIC ACCOUNTING METRIC CATEGORY CODEMEASUREMetric tons (t)Gross global Scope 1 emissions, percentageQuantitative CO₂-e,  EM-MM-110a.1covered under emissions-limiting regulationsPercentage (%)GreenhouseGas Emissions Discussion of long-term and short-termstrategy or plan to manage Scope 1 emissions, Discussion andn/a EM-MM-110a.2emissions reduction targets, and an analysis of Analysisperformance against those targetsAir emissions of the following pollutants: (1)CO, (2) NO (excluding NO), (3) SO, (4)x 2 xAir Quality particulate matter (PM ), (5) mercury (Hg), (6)  Quantitative Metric tons (t) EM-MM-120a.110lead (Pb), and (7) volatile organic compounds(VOCs)Energy  (1) Total energy consumed, (2) percentage grid Gigajoules (GJ),Quantitative EM-MM-130a.1Management electricity, (3) percentage renewable Percentage (%)(1) Total fresh water withdrawn, (2) total freshThousand cubicwater consumed, percentage of each inQuantitative meters (m³),  EM-MM-140a.1regions with High or Extremely High BaselinePercentage (%)Water  Water StressManagementNumber of incidents of non-complianceassociated with water quality permits,  Quantitative Number EM-MM-140a.2standards, and regulationsTotal weight of non-mineral waste generated Quantitative Metric tons (t) EM-MM-150a.4Total weight of tailings produced Quantitative Metric tons (t) EM-MM-150a.5Total weight of waste rock generated Quantitative Metric tons (t) EM-MM-150a.6Total weight of hazardous waste generated  Quantitative Metric tons (t) EM-MM-150a.7Waste &HazardousTotal weight of hazardous waste recycled  Quantitative Metric tons (t) EM-MM-150a.8MaterialsManagement Number of significant incidents associatedwith hazardous materials and waste  Quantitative Number EM-MM-150a.9managementDescription of waste and hazardous materialsDiscussion and  EM-MM-management policies and procedures for  n/aAnalysis 150a.10active and inactive operationsBiodiversity  Description of environmental management  Discussion andn/a EM-MM-160a.1Impacts policies and practices for active sites AnalysisPercentage of mine sites where acid rock  Quantitative Percentage (%) EM-MM-160a.2drainage is: (1) predicted to occur, (2) activelymitigated, and (3) under treatment orremediationSUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 6UNIT OFTOPIC ACCOUNTING METRIC CATEGORY CODEMEASUREPercentage of (1) proved and (2) probablereserves in or near sites with protectedQuantitative Percentage (%) EM-MM-160a.3conservation status or endangered specieshabitatPercentage of (1) proved and (2) probableQuantitative Percentage (%) EM-MM-210a.1reserves in or near areas of conflictSecurity, Human Percentage of (1) proved and (2) probableQuantitative Percentage (%) EM-MM-210a.2Rights & Rights  reserves in or near indigenous landof IndigenousPeoples Discussion of engagement processes and duediligence practices with respect to human  Discussion andn/a EM-MM-210a.3rights, indigenous rights, and operation in  Analysisareas of conflictDiscussion of process to manage risks andDiscussion andopportunities associated with community  n/a EM-MM-210b.1Community  Analysisrights and interestsRelationsNumber and duration of non-technical delays Quantitative Number, Days EM-MM-210b.2Percentage of active workforce covered undercollective bargaining agreements, broken  Quantitative Percentage (%) EM-MM-310a.1Labor Relations down by U.S. and foreign employeesNumber and duration of strikes and lockouts2  Quantitative Number, Days EM-MM-310a.2(1) MSHA all-incidence rate, (2) fatality rate,(3) near miss frequency rate (NMFR) and (4)Workforceaverage hours of health, safety, and  Quantitative Rate EM-MM-320a.1Health & Safetyemergency response training for (a) full-timeemployees and (b) contract employeesDescription of the management system forDiscussion andprevention of corruption and bribery  n/a EM-MM-510a.1Analysisthroughout the value chainBusiness Ethics& TransparencyProduction in countries that have the 20Metric tons (t)lowest rankings in Transparency International’s Quantitative EM-MM-510a.2saleableCorruption Perception IndexTailings Storage  Tailings storage facility inventory table: (1)Facilities  facility name, (2) location, (3) ownershipManagement status, (4) operational status, (5) constructionmethod, (6) maximum permitted storagecapacity, (7) current amount of tailings stored,  Quantitative Various EM-MM-540a.1(8) consequence classification, (9) date of mostrecent independent technical review, (10)material findings, (11) mitigation measures,(12) site-specific EPRPSummary of tailings management systems and Discussion and  n/a EM-MM-540a.2governance structure used to monitor and  Analysismaintain the stability of tailings storagefacilities2 Note to EM-MM-310a.2 – Disclosure shall include a description of the root cause for each work stoppage.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 7UNIT OFTOPIC ACCOUNTING METRIC CATEGORY CODEMEASUREApproach to development of EmergencyDiscussion andPreparedness and Response Plans (EPRPs) for  n/a EM-MM-540a.3Analysistailings storage facilitiesTable 2. Activity MetricsUNIT OFACTIVITY METRIC CATEGORY CODEMEASUREMetric tons (t)Production of (1) metal ores and (2) finished metal products Quantitative EM-MM-000.AsaleableNumber,Total number of employees, percentage contractors Quantitative EM-MM-000.BPercentage (%)SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 8"
Sustainability Disclosure Topics & Accounting Metrics,6,1.0,0,,,
Greenhouse Gas Emissions,9,2.0,0,,Sustainability Disclosure Topics & Accounting Metrics,"Topic SummaryMining operations are energy-intensive and generate significant direct greenhouse gas (GHG) emissions, including carbondioxide from fuel use during mining, ore processing, and smelting activities. The extent and type of GHG emissions canvary depending on the metal mined and processed. Regulatory efforts to reduce GHG emissions in response to the risksposed by climate change may result in additional regulatory compliance costs and risks for metals and mining companiesdue to climate change mitigation policies. Operational efficiencies can be achieved through the cost-effective reduction ofGHG emissions. Such efficiencies can mitigate the potential financial impact of increased fuel costs from regulations thatseek to limit—or put a price on—GHG emissions.Accounting MetricsEM-MM-110a.1.  Gross global Scope 1 emissions, percentage covered underemissions-limiting regulations1 The entity shall disclose its gross global Scope 1 greenhouse gas (GHG) emissions to the atmosphere of the sevenGHGs covered under the Kyoto Protocol—carbon dioxide (CO), methane (CH), nitrous oxide (NO),2 4 2hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulfur hexafluoride (SF), and nitrogen trifluoride (NF).6 31.1 Emissions of all GHGs shall be consolidated and disclosed in metric tons of carbon dioxide equivalents (CO-e),2and calculated in accordance with published 100-year time horizon global warming potential (GWP) values. Todate, the preferred source for GWP values is the Intergovernmental Panel on Climate Change (IPCC) FifthAssessment Report (2014).1.2 Gross emissions are GHGs emitted into the atmosphere before accounting for offsets, credits, or other similarmechanisms that have reduced or compensated for emissions.2 Scope 1 emissions are defined and shall be calculated according to the methodology contained in The GreenhouseGas Protocol: A Corporate Accounting and Reporting Standard (GHG Protocol), Revised Edition, March 2004,published by the World Resources Institute and the World Business Council on Sustainable Development(WRI/WBCSD).2.1 These emissions include direct emissions of GHGs from stationary or mobile sources that include, but are notlimited to, equipment at mine sites, refineries and smelting facilities, office buildings, and metal transportation(marine, road, and rail).2.2 Acceptable calculation methodologies include those that conform to the GHG Protocol as the base reference,but provide additional guidance, such as industry- or region-specific guidance. Examples include, but are notlimited to:SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 92.2.1  GHG Reporting Guidance for the Aerospace Industry published by International AerospaceEnvironmental Group (IAEG)2.2.2 Greenhouse Gas Inventory Guidance: Direct Emissions from Stationary Combustion Sources publishedby the U.S. Environmental Protection Agency (EPA)2.2.3 India GHG Inventory Program2.2.4 ISO 14064-12.2.5 Petroleum Industry Guidelines for reporting GHG emissions, 2nd edition, 2011, published by IPIECA2.2.6 Protocol for the quantification of greenhouse gas emissions from waste management activitiespublished by Entreprises pour l’Environnement (EpE)2.3 GHG emissions data shall be consolidated and disclosed according to the approach with which the entityconsolidates its financial reporting data, which is generally aligned with the “financial control” approachdefined by the GHG Protocol, and the approach published by the Climate Disclosure Standards Board (CDSB)described in REQ-07, “Organisational boundary,” of the CDSB Framework for reporting environmentalinformation, natural capital and associated business impacts (April 2018).3 The entity shall disclose the percentage of its gross global Scope 1 GHG emissions that are covered under anemissions-limiting regulation or program that is intended to directly limit or reduce emissions, such as cap-and-tradeschemes, carbon tax/fee systems, and other emissions control (e.g., command-and-control approach) and permit-based mechanisms.3.1 Examples of emissions-limiting regulations include, but are not limited to:3.1.1 California Cap-and-Trade (California Global Warming Solutions Act)3.1.2 European Union Emissions Trading Scheme (EU ETS)3.1.3 Quebec Cap-and-Trade (Draft Bill 42 of 2009)3.2 The percentage shall be calculated as the total amount of gross global Scope 1 GHG emissions (CO-e) that2are covered under emissions-limiting regulations divided by the total amount of gross global Scope 1 GHGemissions (CO-e).23.2.1 For emissions that are subject to multiple emissions-limiting regulations, the entity shall not account forthose emissions more than once.3.3 The scope of emissions-limiting regulations excludes emissions covered under voluntary emissions-limitingregulations (e.g., voluntary trading systems), as well as reporting-based regulations [e.g., the U.S.Environmental Protection Agency (EPA) GHG Reporting Program].SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 104 The entity may discuss any change in its emissions from the previous reporting period, including whether the changewas due to emissions reductions, divestment, acquisition, mergers, changes in output, and/or changes in calculationmethodology.5 In the case that current reporting of GHG emissions to the CDP or other entity (e.g., a national regulatory disclosureprogram) differs in terms of the scope and consolidation approach used, the entity may disclose those emissions.However, primary disclosure shall be according to the guidelines described above.6 The entity may discuss the calculation methodology for its emissions disclosure, such as if data are from continuousemissions monitoring systems (CEMS), engineering calculations, or mass balance calculations.7 The entity may, where relevant, provide a breakdown of its emissions by mineral or business unit.7.1 Minerals or business units may include, but are not limited to: aluminum, copper, zinc, iron ore, preciousmetals, or diamonds.EM-MM-110a.2.  Discussion of long-term and short-term strategy or plan tomanage Scope 1 emissions, emissions reduction targets, and an analysis ofperformance against those targets1 The entity shall discuss its long-term and short-term strategy or plan to manage its Scope 1 greenhouse gas (GHG)emissions.1.1 Scope 1 emissions are defined according to The Greenhouse Gas Protocol: A Corporate Accounting andReporting Standard (GHG Protocol), Revised Edition, March 2004, published by the World Resources Instituteand the World Business Council on Sustainable Development (WRI/WBCSD).1.2 The scope of GHG emissions includes the seven GHGs covered under the Kyoto Protocol—carbon dioxide(CO), methane (CH), nitrous oxide (NO), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulfur2 4 2hexafluoride (SF), and nitrogen trifluoride (NF).6 32 The entity shall discuss its emission reduction target(s) and analyze its performance against the target(s), includingthe following, where relevant:2.1 The scope of the emission reduction target (e.g., the percentage of total emissions the target is applicable to);2.2 Whether the target is absolute- or intensity-based, and the metric denominator, if it is an intensity-basedtarget;2.3 The percentage reduction against the base year, with the base year representing the first year against whichemissions are evaluated toward the achievement of the target;2.4 The timelines for the reduction activity, including the start year, the target year, and the base year;SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 112.5 The mechanism(s) for achieving the target; and2.6 Any circumstances in which the target or base year emissions have been, or may be, recalculatedretrospectively or the target or base year has been reset.3 The entity shall discuss the activities and investments required to achieve the plans and/or targets, and any risks orlimiting factors that might affect achievement of the plans and/or targets.4 The entity shall discuss the scope of its strategies, plans, and/or reduction targets, such as whether they pertaindifferently to different business units, geographies, or emissions sources.5 The entity shall discuss whether its strategies, plans, and/or reduction targets are related to, or associated with,emissions limiting and/or emissions reporting-based programs or regulations (e.g., the EU Emissions Trading Scheme,Quebec Cap-and-Trade System, California Cap-and-Trade Program), including regional, national, international, orsectoral programs.6 Disclosure of strategies, plans, and/or reduction targets shall be limited to activities that were ongoing (active) orreached completion during the reporting period.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 12"
Air Quality,13,2.0,0,,Sustainability Disclosure Topics & Accounting Metrics,"Topic SummaryNon-greenhouse gas (GHG) air emissions from the Metals & Mining industry include hazardous air pollutants, criteria airpollutants, and Volatile Organic Compounds (VOCs) from smelting and refining activities. These can have significant,localized human health and environmental impacts. Depending on the metal, uncaptured sulfur dioxide, lead, mercury,cadmium, and arsenic are among the chief pollutants, along with particulate matter. Financial impacts resulting from airemissions will vary depending on the specific location of operations and the applicable air emissions regulations. Activemanagement of the issue—through technological and process improvements—could allow companies to limit theimpacts of increasingly stringent air quality regulations globally. Companies could also benefit from operationalefficiencies that could lead to a lower cost structure over time.Accounting MetricsEM-MM-120a.1.  Air emissions of the following pollutants: (1) CO, (2) NOx(excluding N O), (3) SO , (4) particulate matter (PM ), (5) mercury (Hg), (6) lead2 x 10(Pb), and (7) volatile organic compounds (VOCs)1 The entity shall disclose its emissions of air pollutants, in metric tons per pollutant, that are released into theatmosphere.1.1 The scope of disclosure includes air pollutants associated with the entity’s direct air emissions resulting from allof the entity’s activities and sources of emissions, including, but not limited to, stationary and mobile sources,production facilities, office buildings, and transportation fleets.2 The entity shall disclose its emissions of (1) carbon monoxide, reported as CO.3  The entity shall disclose its emissions of (2) oxides of nitrogen (NO ), reported as NO .X X3.1 The scope of NO  includes NO and NO, but excludes NO.X 2 24 The entity shall disclose its emissions of (3) oxides of sulfur (SO ), reported as SO .X X4.1 The scope of SO  includes SO and SO.X 2 35 The entity shall disclose its emissions of (4) particulate matter 10 micrometers or less in diameter (PM ), reported as10PM .105.1 PM  is defined, according to U.S. 40 CFR Part 51.100, as any airborne finely divided solid or liquid material10with an aerodynamic diameter less than or equal to a nominal 10 micrometers.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 136 The entity shall disclose its emissions of (5) lead and lead compounds, reported as Pb.7 The entity shall disclose its emissions of (6) mercury and mercury compounds, reported as Hg.8  The entity shall disclose its emissions of (7) non-methane volatile organic compounds (VOCs).8.1 VOCs are defined as any compound of carbon, excluding carbon monoxide, carbon dioxide, carbonic acid,metallic carbides or carbonates, ammonium carbonate, and methane, that participates in atmosphericphotochemical reactions, except those designated by the U.S. Environmental Protection Agency (EPA) ashaving negligible photochemical reactivity.8.1.1 This definition is aligned with U.S. 40 CFR Part 51.100, where a list of compounds that have beendetermined to have negligible photochemical reactivity can be obtained.8.1.2 Where applicable regulatory definitions of VOCs may conflict with this definition, such as the EU PaintsDirective (Directive 2004/42/EC), and Schedule 1 of the Canadian Environmental Protection Act 1999,the entity may define VOCs as per the applicable regulatory definition.9 The entity may discuss the calculation methodology for its emissions disclosure, such as whether data are fromcontinuous emissions monitoring systems (CEMS), engineering calculations, or mass balance calculations.10 The entity may provide a breakdown of its emissions by mineral or business unit, where relevant.10.1 Minerals or business units may include, but are not limited to: aluminum, copper, zinc, iron ore, preciousmetals, or diamonds.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 14"
Energy Management,15,2.0,0,,Sustainability Disclosure Topics & Accounting Metrics,"Topic SummaryMining and metals production is often energy-intensive, with a significant proportion of energy consumption in theindustry accounted for by purchased electricity. While fuel combustion on-site contributes to the industry’s direct (Scope1) GHG emissions, electricity purchases from the grid can result in indirect, Scope 2 emissions. The energy intensity ofoperations may increase with decreasing grades of deposits and increasing depth and scale of mining operations. Thechoice between on-site versus grid-sourced electricity, and use of alternative energy, can play an important role ininfluencing both the costs and reliability of energy supply. Affordable and easily accessible energy is an importantcompetitive factor in a commodity market driven by global competition, and purchased fuels and electricity can accountfor a significant proportion of total production costs. The way in which a company manages its overall energy efficiencyand intensity, its reliance on different types of energy, and its ability to access alternative sources of energy, can thereforebe a material factor.Accounting MetricsEM-MM-130a.1.  (1) Total energy consumed, (2) percentage grid electricity, (3)percentage renewable1 The entity shall disclose (1) the total amount of energy it consumed as an aggregate figure, in gigajoules (GJ).1.1 The scope of energy consumption includes energy from all sources, including energy purchased from sourcesexternal to the entity and energy produced by the entity itself (self-generated). For example, direct fuel usage,purchased electricity, and heating, cooling, and steam energy are all included within the scope of energyconsumption.1.2 The scope of energy consumption includes only energy directly consumed by the entity during the reportingperiod.1.3 In calculating energy consumption from fuels and biofuels, the entity shall use higher heating values (HHV),also known as gross calorific values (GCV), which are directly measured or taken from the IntergovernmentalPanel on Climate Change (IPCC), the U.S. Department of Energy (DOE), or the U.S. Energy InformationAdministration (EIA).2 The entity shall disclose (2) the percentage of energy it consumed that was supplied from grid electricity.2.1 The percentage shall be calculated as purchased grid electricity consumption divided by total energyconsumption.3 The entity shall disclose (3) the percentage of energy it consumed that is renewable energy.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 153.1 Renewable energy is defined as energy from sources that are replenished at a rate greater than or equal totheir rate of depletion, such as geothermal, wind, solar, hydro, and biomass.3.2 The percentage shall be calculated as renewable energy consumption divided by total energy consumption.3.3 The scope of renewable energy includes renewable fuel the entity consumed, renewable energy the entitydirectly produced, and renewable energy the entity purchased, if purchased through a renewable powerpurchase agreement (PPA) that explicitly includes renewable energy certificates (RECs) or Guarantees of Origin(GOs), a Green‐e Energy Certified utility or supplier program, or other green power products that explicitlyinclude RECs or GOs, or for which Green‐e Energy Certified RECs are paired with grid electricity.3.3.1 For any renewable electricity generated on-site, any RECs and GOs must be retained (i.e., not sold) andretired or cancelled on behalf of the entity in order for the entity to claim them as renewable energy.3.3.2 For renewable PPAs and green power products, the agreement must explicitly include and convey thatRECs and GOs be retained or replaced and retired or cancelled on behalf of the entity in order for theentity to claim them as renewable energy.3.3.3 The renewable portion of the electricity grid mix that is outside of the control or influence of the entityis excluded from the scope of renewable energy.3.4 For the purposes of this disclosure, the scope of renewable energy from hydro and biomass sources is limitedto the following:3.4.1 Energy from hydro sources is limited to those that are certified by the Low Impact Hydropower Instituteor that are eligible for a state Renewable Portfolio Standard;3.4.2 Energy from biomass sources is limited to materials certified to a third-party standard (e.g., ForestStewardship Council, Sustainable Forest Initiative, Programme for the Endorsement of ForestCertification, or American Tree Farm System), materials considered eligible sources of supply accordingto the Green-e Framework for Renewable Energy Certification, Version 1.0 (2017) or Green-e regionalstandards, and/or materials that are eligible for an applicable state renewable portfolio standard.4 The entity shall apply conversion factors consistently for all data reported under this disclosure, such as the use ofHHVs for fuel usage (including biofuels) and conversion of kilowatt hours (kWh) to GJ (for energy data includingelectricity from solar or wind energy).SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 16"
Water Management,17,2.0,0,,Sustainability Disclosure Topics & Accounting Metrics,"Topic SummaryMining and metals production can impact both the availability and the quality of local water resources. Metals and miningcompanies face operational, regulatory, and reputational risks due to water scarcity, costs of water acquisition, regulationson effluents or amount of water used, and competition with local communities and other industries for limited waterresources. Impacts associated with water management may include higher costs, liabilities, and lost revenues due tocurtailment or suspension of operations. The severity of these risks can vary depending on the region’s water availabilityand the regulatory environment. Companies in the industry may deploy new technologies to manage risks related towater risk, including desalination, water recirculation, and innovative waste-disposal solutions. Reducing water use andcontamination can create operational efficiencies for companies and lower their operating costs.Accounting MetricsEM-MM-140a.1.  (1) Total fresh water withdrawn, (2) total fresh water consumed,percentage of each in regions with High or Extremely High Baseline Water Stress1 The entity shall disclose the amount of water, in thousands of cubic meters, that was withdrawn from freshwatersources:1.1 Fresh water may be defined according to the local statutes and regulations where the entity operates. Wherethere is no regulatory definition, fresh water shall be considered to be water that has less than 1000 parts permillion of dissolved solids per the U.S. Geological Survey.1.2 Water obtained from a water utility in compliance with U.S. National Primary Drinking Water Regulations canbe assumed to meet the definition of fresh water.2 The entity shall disclose the amount of water, in thousands of cubic meters, that was consumed in its operations2.1 Water consumption is defined as:2.1.1 Water that evaporates during withdrawal, usage, and discharge;2.1.2 Water that is directly or indirectly incorporated into the entity’s product or service;2.1.3 Water that does not otherwise return to the same catchment area from which it was withdrawn, suchas water returned to another catchment area or the sea.3 The entity shall analyze all of its operations for water risks and identify activities that withdraw and consume water inlocations with High (40–80%) or Extremely High (>80%) Baseline Water Stress as classified by the World ResourcesInstitute’s (WRI) Water Risk Atlas tool, Aqueduct.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 173.1 The entity shall list its facilities or operations which are located in areas of High or Extremely High BaselineWater Stress.4 The entity shall disclose its water withdrawn in locations with High or Extremely High Baseline Water Stress as apercentage of the total water withdrawn.5 The entity shall disclose its water consumed in locations with High or Extremely High Baseline Water Stress as apercentage of the total water consumed.EM-MM-140a.2.  Number of incidents of non-compliance associated with waterquality permits, standards, and regulations1 The entity shall disclose the total number of instances of non-compliance, including violations of a technology-basedstandard and exceedances of quality-based standards.2 The scope of disclosure includes incidents governed by national, state, and local statutory permits and regulations,including, but not limited to, the discharge of a hazardous substances, violation of pretreatment requirements, ortotal maximum daily load (TMDL) exceedances.2.1 Typical parameters of concern include arsenic, copper, lead, nickel, zinc, cyanide, radium-226, total suspendedsolids, pH, and toxicity.3 The scope of disclosure shall only include incidents of non-compliance that resulted in a formal enforcementaction(s).3.1 Formal enforcement actions are defined as governmental actions that address a violation or threatenedviolation of water quantity and/or quality laws, regulations, policies, or orders, and can result in administrativepenalty orders, administrative orders, and judicial actions, among others. For example, the U.S. EnvironmentalProtection Agency (EPA) provides guidance on the scope of formal enforcement actions in, Informal andFormal Actions, Summary Guidance and Portrayal on EPA Websites.4 Violations shall be disclosed, regardless of their measurement methodology or frequency. These include violations for:4.1 Continuous discharges, limitations, standards, and prohibitions that are generally expressed as maximum daily,weekly average, and monthly averages.4.2 Non-continuous discharges and limitations that are generally expressed in terms of frequency, total mass,maximum rate of discharge, and mass or concentration of specified pollutants.SUSTAINABILITY ACCOUNTING STANDARD | METALS & MINING | 18"
